menu_name,sales,qty,accts,period
ラ・ロスカ カヴァ ブリュット,12000.0,2,2,After (4/1-4/18)
レモンジンフィズ,2400.0,2,2,After (4/1-4/18)
ロイヤルセンテナリオ12年,1200.0,1,1,After (4/1-4/18)
ロイヤルブラックラ 12年,10800.0,6,1,After (4/1-4/18)
ロンサカパ23,3000.0,2,1,After (4/1-4/18)
ローズガーデン,21000.0,14,12,After (4/1-4/18)
ワイルドターキー8年,15600.0,13,2,After (4/1-4/18)
ワカモレチップス,22800.0,19,13,After (4/1-4/18)
丸氷,2000.0,20,11,After (4/1-4/18)
余市,10800.0,6,3,After (4/1-4/18)
作,3400.0,2,1,After (4/1-4/18)
山崎12年,3500.0,1,1,After (4/1-4/18)
撫子ネグローニ,17100.0,9,9,After (4/1-4/18)
桜ブロッサム,32300.0,17,15,After (4/1-4/18)
梅酒,3600.0,3,2,After (4/1-4/18)
森のジントニック,96000.0,65,28,After (4/1-4/18)
焙煎ファッションド,28500.0,15,12,After (4/1-4/18)
牛肉と季節のフルーツのカルパッチョ,15000.0,10,8,After (4/1-4/18)
知多,5100.0,3,1,After (4/1-4/18)
紅茶,1000.0,1,1,After (4/1-4/18)
鴨のパイ包み,8400.0,4,1,After (4/1-4/18)
黒板メニュー　その他,7100.0,9,3,After (4/1-4/18)
黒板メニュー　前菜,5400.0,3,1,After (4/1-4/18)
黒板メニュー　肉料理,3800.0,2,1,After (4/1-4/18)
6500円飲み放題付（2時間制）,39000.0,6,3,Before同窓 (3/1-3/18)
Arrow Head,10000.0,5,5,Before同窓 (3/1-3/18)
BFAグレングラッサ8年,2800.0,1,1,Before同窓 (3/1-3/18)
BFAジェームズベイ,4000.0,2,2,Before同窓 (3/1-3/18)
Cafe Oaxaca,17600.0,11,8,Before同窓 (3/1-3/18)
Espresso Martini,7200.0,4,4,Before同窓 (3/1-3/18)
Hojicha Negroni,23800.0,14,12,Before同窓 (3/1-3/18)
Japanese High Tea,32400.0,18,14,Before同窓 (3/1-3/18)
MIXローストナッツ,4000.0,5,5,Before同窓 (3/1-3/18)
Niu Japonica,6400.0,4,3,Before同窓 (3/1-3/18)
No charge,0.0,41,23,Before同窓 (3/1-3/18)
Syndicate,16200.0,9,8,Before同窓 (3/1-3/18)
